building_id,building_name,location,total_floor_area,number_of_floors,occupant_count,building_age,floor_area_per_floor,occupant_density,hvac_efficiency,lighting_power_density,equipment_power_density,outdoor_temperature,humidity,occupancy_hours,weekday_numeric,has_elevator_numeric,floor_height,building_type_numeric,climate_zone_numeric,is_single_story,is_low_rise,is_mid_rise,is_high_rise,hvac_floor_factor,vertical_lighting_factor,vertical_occupancy_impact,elevator_energy_estimate,stack_effect_intensity,envelope_efficiency_score,floor_compactness,thermal_mass_effect,comprehensive_efficiency_score,cooling_degree_hours,heating_degree_hours,humidity_comfort_penalty,usage_intensity,energy_consumption_kwh
B00000,"Rodriguez, Webb and Mckinney Building",Andrewtown,19039.735882944442,40,176,14,475.99339707361105,0.00924382570651406,0.620398112763112,11.122469973523323,9.146676689370468,31.674278966041257,21.733982294320384,9.82581224315629,3,1,3.335958989163251,1,2,0,0,0,1,2.6683789796262882,70.34467664633279,0.0584630870523992,4000,12.909199152175317,0.6880000000000001,1.0,0.5148244925581905,0.5559248994383303,328.18269518499017,0.0,0.28266017705679614,0.0908280958006687,38864.538457413095
B00001,"Anderson, Dunn and Wilson Building",North Jenniferport,47560.35816729085,7,469,21,6794.3368810415495,0.00986115365974157,0.8224552613990849,11.13217118588473,8.26626033801607,15.045516418543842,70.98095209422665,15.482537760437134,5,1,3.591621625881838,1,4,0,0,1,0,0.6432610983009602,29.452956510049983,0.026090160223870645,700,1.7484511539598677,0.474,1.0,0.5258031831091796,0.587832375311439,0.0,70.90760595494778,0.20980952094226651,0.15267568389842168,69148.40082413383
B00002,Perez Inc Building,Fuentesmouth,36733.70011966455,32,925,15,1147.9281287395172,0.025181236765877073,0.6067546962794447,9.76337209429527,6.249543556168961,35.6649179760885,87.54062081207316,10.95091042978174,1,1,4.766986939365799,1,1,0,0,0,1,1.941615028094223,55.229972920989525,0.14244658620652548,3200,20.844955366246023,0.765,1.0,0.620209368047825,0.562814270552482,423.9580314261241,0.0,0.37540620812073155,0.27575746833424664,110592.33299734822
B00003,Harris-Davis Building,North Allisonside,30133.59496775331,48,1390,3,627.7832284948606,0.04612791807573815,0.8162706558591113,7.228177272649714,4.926481039221118,33.47431756074536,52.91645864751957,11.45809028002112,6,1,3.8097617468829217,1,2,0,0,0,1,3.977765632612928,50.07828112937577,0.3195835910182131,0,20.982919734967027,0.776,1.0,0.41532831566586903,0.6635885641944762,371.3836214578887,0.0,0.02916458647519569,0.5285378497412258,193941.63316272196
B00004,Newman PLC Building,East Daniel,8222.922701900608,19,1337,37,432.7854053631899,0.16259425613851045,0.5986526475435564,5.065605186514693,6.734866424010644,29.06316218229121,43.78380464517849,12.560662682317323,1,1,3.504217698670333,0,3,0,0,0,1,1.3956319390585978,22.080461095893053,0.7087319313079349,1900,4.702663006275128,0.44099999999999995,1.0,0.673270301965711,0.5380023420512706,265.5158923749891,0.0,0.06216195354821508,2.0422916054381326,169335.99211400017
B00005,Ochoa-Rodriguez Building,Greerport,8221.728756642031,6,1266,46,1370.2881261070052,0.15398221438249776,0.643278835277024,19.55352593642031,9.104199932252751,23.91348187861866,56.34815984896449,9.996157696415148,2,1,4.356854736855948,3,4,0,0,1,0,0.5012562352807979,47.896161216506385,0.3771778547009686,600,0.500205755204864,0.324,1.0,0.7283904220866121,0.46864217242972966,141.92356508684787,0.0,0.06348159848964492,1.5392304974106523,160460.22849348368
B00006,Myers-Lang Building,West Sherrimouth,3375.1388023258733,20,1360,16,168.75694011629366,0.40294639114183917,0.7415587339570162,19.152488445558905,3.69999926741762,19.821402347318248,70.99060439792615,19.53790292128,3,1,3.060580271043597,0,6,0,0,0,1,1.612084204254383,85.65253220509798,1.8020310437627431,2000,1.3335545988679323,0.336,1.0,0.6368405429788999,0.46303754096730415,43.71365633563795,0.0,0.2099060439792615,7.872727472609373,127591.88307140961
B00007,Dominguez LLC Building,North Deannafort,43375.71921585929,27,1917,14,1606.5081191058996,0.044195232601448024,0.6307488445424366,12.254755687642028,4.844928343007472,16.34548179658226,20.04833321374345,20.67114359569998,3,1,4.55021352900238,1,5,0,0,0,1,1.8312063228651387,63.677578456019,0.2296451649540973,2700,6.946901611879042,0.43,1.0,0.5744728776977002,0.4770864158068226,0.0,39.70843688202578,0.2995166678625655,0.9135659993498934,189648.20921093784
B00008,Davis Ltd Building,Lake Lisafort,30255.193081288835,43,1215,9,703.6091414253217,0.04015839517981495,0.8561797712214051,19.925776299125086,14.371887203629145,39.3039690372243,82.10482059122975,14.3085587506496,0,1,4.395785421704353,0,2,0,0,0,1,3.8550502787979495,130.6620531305066,0.2633362076262623,4300,32.70774997752526,0.7280000000000001,1.0000000000000002,0.46994750716552547,0.6112987875484935,511.29525689338317,0.0,0.32104820591229755,0.5746087567621859,160419.4301743105
B00009,"Anderson, Adkins and Simpson Building",North Shawnton,35549.59260090425,37,1667,7,960.7998000244393,0.04689223920832211,0.7721791339132749,15.104814961733648,9.514264212376068,19.914941569275584,82.04540017748253,19.023880630936723,1,1,3.1101665637411404,1,4,0,0,0,1,2.8570627954791172,91.87900247632138,0.2852343556181628,3700,2.3994052354336914,0.558,1.0,0.5202960415914036,0.5370414728369797,45.95859766261401,0.0,0.32045400177482536,0.8920723612164506,327622.91666342865
B00010,"Parker, Gonzalez and Curry Building",Crawfordton,1518.9324676422211,48,1367,14,31.64442640921294,0.8999741786558425,0.8878876066197151,6.032863064113123,3.7613916439204544,27.240039921509,57.89085535260962,14.22326864273113,2,1,3.9960576948533157,2,1,0,0,0,1,4.261860511774632,41.79690136859834,6.235204011727956,4800,10.050960887848607,0.774,1.0,0.6569181831521093,0.6915904060820123,221.76095811621596,0.0,0.0789085535260962,12.80057451454335,149498.11469076373
B00011,Wright-Berry Building,Lewisberg,48510.537682018716,7,1748,6,6930.076811716959,0.036033408070179504,0.7198412560359004,6.76577298623941,11.317053105234876,26.95308170692688,28.566513632292555,10.625237178181823,2,1,3.8083008310002944,2,3,0,0,1,0,0.5194730713661136,17.90055274870831,0.09533543664380283,700,1.3203977626351397,0.6579999999999999,1.0,0.4773608617824891,0.597448722243289,214.87396096624514,0.0,0.21433486367707444,0.3828635070838682,283537.64912993705
B00012,Burns-Hudson Building,North Claudia,41705.91071962088,5,1062,85,8341.182143924176,0.02546401653088404,0.9446399438703337,18.741662658044564,3.741634440948417,14.654927574228312,67.02640562295349,14.354688981300454,0,1,3.3162784243199175,3,5,0,0,1,0,0.47231997193516684,41.907631714757045,0.056939271943235094,500,1.2179152605326906,0.1,1.0,0.8848936656887324,0.4472179118174495,0.0,80.28173821852052,0.1702640562295349,0.36552803751553375,148427.23543370617
B00013,Bradford-Lawrence Building,West Jenniferport,11010.78597857467,11,723,15,1000.9805435067882,0.06566288740938649,0.8044459298147947,14.450783032244427,11.866490724556476,18.171734091083447,29.649196407431933,16.91179832770623,0,1,3.3080895281419913,2,4,0,0,0,1,0.9566384030229991,47.92782524478904,0.21777916018828666,0,1.3930671000652814,0.51,1.0,0.6496517627785027,0.563149392877887,4.121618186002735,0.0,0.20350803592568067,1.110477509482425,75032.83290876722
B00014,Rios-Dyer Building,New Johnburgh,9500.33587675148,15,1126,52,633.3557251167654,0.11852212538668912,0.6941811031241565,17.64775439986027,11.999552660640322,36.47116981202369,55.52830060028765,8.655909025230223,5,1,3.3203964248400033,1,2,0,0,0,1,1.407123857684101,68.34945888861749,0.4590342177797543,0,7.207503076064405,0.384,1.0,0.8171929547213738,0.5354093729738951,443.30807548856853,0.0,0.05528300600287651,1.0259167348241103,148867.12722958368
B00015,"Hays, Powell and Stone Building",Ryanland,9578.523237744974,3,850,72,3192.8410792483246,0.08874019291935355,0.4992091312758084,18.474044744507665,10.812947708991032,23.729600370621093,26.55409803867819,18.47175025091792,2,1,4.199324768929902,0,3,0,1,0,0,0.23400428028553516,31.997984118788075,0.15370252280978428,300,0.21789461030098475,0.196,1.0,0.8191033449657807,0.4145081626101476,137.51040889490622,0.0,0.23445901961321808,1.6391866808245736,97416.17222933019
B00016,White Group Building,South Donnamouth,15559.991026497117,5,877,34,3111.9982052994233,0.05636250037076218,0.6356072739304485,11.719130169235791,11.786454535432195,26.642877173525093,61.23457368082509,19.88172750407657,0,0,3.342213302621639,1,2,0,0,1,0,0.3828959481508726,26.204771695579847,0.12603038221088134,0,0.7758742925896961,0.528,1.0,0.7116745913113791,0.5426102487912118,207.42905216460224,0.0,0.11234573680825094,1.1205838738199083,124258.7311810315
B00017,Ramos Ltd Building,North Loribury,26475.443365795774,23,697,1,1151.1062332954684,0.02632628244860557,0.8644088332638402,5.727889273650396,4.0555893721566925,22.52675396355313,42.26485275825912,21.75952412333698,5,1,3.119191879909903,0,3,0,0,0,1,1.9881403165068323,27.469991940617362,0.12625641525865694,2300,0.3779007377398144,0.693,1.0,0.4220231150433592,0.6598581954221636,108.64209512527512,0.0,0.07735147241740883,0.5728473780182158,107211.03254906343
B00018,Garrett and Sons Building,East Alyssa,21881.27842278473,37,339,96,591.3859033185062,0.015492696242418958,0.4722130098684443,7.82420523345983,11.721366628263212,28.967070012580177,78.1693990316252,9.644328963988912,3,1,4.915153977650766,4,4,0,0,0,1,3.359977185602392,47.59278242345269,0.09423839219667805,0,12.670362097414786,0.1,1.0,0.9885988044651848,0.48810973052040474,263.2096803019242,0.0,0.28169399031625203,0.14941665910104335,56716.61659971836
B00019,"Pena, Conley and Wyatt Building",North Melissaside,14915.842439803075,9,1756,69,1657.315826644786,0.11772717545702256,0.6140304237021792,5.998579209536526,4.640259836686596,22.596863181678433,75.99622883458903,8.001497501732358,2,0,3.078343509753233,0,3,0,0,1,0,0.8437059256976508,17.99573762860958,0.3531815263710677,0,0.16536149113774223,0.217,1.0,0.9191951863141933,0.5435859398056093,110.3247163602824,0.0,0.2599622883458903,0.9419937003053729,704479.7651205182
B00020,"Obrien, Mcmahon and Hernandez Building",South Christophershire,30786.718288757784,15,1217,94,2052.4478859171854,0.03953003332753414,0.3782043785690287,7.8310976854776095,7.074070887262126,14.7174747388368,89.89317128321088,9.172261904354597,4,1,4.327792096563872,1,6,0,0,0,1,1.0703897506670623,30.329710918378233,0.15309916075256388,0,4.727588290243327,0.1,1.0000000000000002,1.0385034661155945,0.4138116571630738,0.0,78.78060626791678,0.39893171283210876,0.362579818768009,139656.3277283238
B00021,"Riley, Miller and Kelley Building",North Joseberg,7404.946102276071,3,104,86,2468.3153674253567,0.01404466670838203,0.5013415624816064,11.157993896838152,14.312943042007594,15.433649799629348,38.025222229305534,22.78586886057773,1,1,4.872065847373097,0,4,0,1,0,0,0.26386398025347707,19.326212339867123,0.02432607631428882,300,0.9597507165935204,0.1,1.0000000000000002,0.8705690682501398,0.46046056952747483,0.0,61.59240480889564,0.11974777770694466,0.32001993380771476,20147.022101686598
B00022,"Hamilton, Bell and Flores Building",Helenport,14961.160102493299,29,794,20,515.9020724997689,0.05307075083486867,0.6063533632551941,6.772952157724782,9.03450573190968,13.202035321564841,24.326076494570625,20.248891536660174,1,1,3.07587066619137,4,5,0,0,0,1,1.9538052816000697,36.4734636001852,0.2857947396841388,2900,7.847806428210085,0.4,1.0,0.6066330891506894,0.4939057748730659,0.0,115.15115228244382,0.25673923505429375,1.074623877424373,112069.97720657867
B00023,Hunter PLC Building,Matthewside,18634.91124303774,6,658,80,3105.81854050629,0.03531006890337822,0.7909510213609058,7.500998717080149,14.609117184996165,18.67093465343693,51.01022856041914,21.366970348178672,4,1,4.9314637640384404,1,5,0,0,1,0,0.47457061281654345,18.373619418117602,0.0864916515957922,600,0.9850299074815111,0.1,1.0,0.8796922013653831,0.4450050830667945,16.102431682486326,0.0,0.010102285604191366,0.7544691952506282,118948.1228912065
B00024,Walls-Perry Building,Stacymouth,23075.46421874328,17,1782,7,1357.3802481613693,0.07722488193986375,0.6629468519432197,11.687326731075188,4.06706950664085,22.492916773394036,25.838233447659956,16.272220754655557,4,1,4.004678215567407,0,4,0,0,0,1,1.1270096483034735,48.18808259332777,0.3184063451639119,1700,0.3355754209648083,0.558,1.0000000000000002,0.5471711215473654,0.5125037701261537,107.83000256145687,0.0,0.24161766552340044,1.2566203266776759,234488.06313468266
B00025,Allen-Phillips Building,North Joshuaberg,39366.210088954176,26,362,7,1514.0850034213145,0.009195703604233269,0.6963334589311769,10.102564255827343,8.73067919475816,20.065648695383796,32.49498005460342,16.427517993022008,6,1,4.570170434499645,0,4,0,0,0,1,1.8761315991928085,51.513172277788584,0.04688907211920094,2600,2.298481936996126,0.558,1.0,0.4500145697621441,0.5428541616722584,49.57556868921111,0.0,0.17505019945396583,0.15106258641703937,81363.60412275669
B00026,Smith Group Building,Port Christopherport,10383.852216838806,21,939,50,494.4691531828003,0.09042886786055042,0.6944815713916955,12.014871862820614,3.748827843322448,34.69975757330346,61.81100989530867,12.776089437426952,3,1,4.250243843983254,2,1,0,0,0,1,1.9445483998967474,55.05905977657054,0.4143971319801316,2100,11.335183953662671,0.45,1.0,0.8462711287607749,0.5788827122855635,400.794181759283,0.0,0.11811009895308672,1.155327303511656,93777.93207008498
B00027,"Hill, Peters and Oconnor Building",Wendymouth,25954.604701473774,8,950,2,3244.325587684222,0.036602368285965706,0.6446204274713743,11.43758041638593,10.562523148791417,28.74391822639829,61.4491595941009,21.484048831490618,2,1,4.233693962657971,1,4,0,0,1,0,0.5209053959364641,32.35036269117179,0.10352713128997512,800,2.2841348703809192,0.588,1.0,0.5227028877739404,0.5182473212523654,257.8540374335589,0.0,0.11449159594100898,0.7863670676038907,172739.95550926475
B00028,"Nguyen, Pratt and Underwood Building",New Jennifer,29824.5211586711,21,993,47,1420.2152932700524,0.03329475080981469,0.8213403132973187,14.667170389698253,3.9444840164221966,17.651544758000142,23.032923441078324,21.27631332934055,0,1,4.577517048426809,0,3,0,0,0,1,1.7248146579243693,67.21341854160718,0.15257571583066806,2100,4.180076880960807,0.371,1.0,0.6588579304621716,0.5019096456926654,0.0,8.36292580799659,0.26967076558921677,0.7083895504519323,161087.34621214657
B00029,Cooper Ltd Building,West Loristad,2799.2954296398875,11,1298,14,254.48140269453523,0.4636881074631626,0.8075339955245912,19.057843233137817,5.104413630484528,31.055413150340648,51.00333259927951,14.274741531554584,1,1,3.130880045586203,0,2,0,0,0,1,0.8882873950770503,63.20771531773179,1.5378794722053037,1100,3.1186553570634477,0.6880000000000001,1.0,0.5984536843889918,0.5696825803168265,313.32991560817555,0.0,0.010033325992795099,6.619027885292351,150506.828599847
B00030,Anderson-Taylor Building,Lake Julieport,30573.4701691212,38,1680,31,804.5650044505579,0.0549496014259048,0.5427083678136827,6.617965076663637,6.105963720831365,17.344354214727616,57.11530850070692,13.268273127543582,4,1,3.7847797583034812,0,3,0,0,0,1,2.4405820091029518,40.79587658974498,0.33873209248741154,3800,6.695825693373337,0.48299999999999993,1.0,0.5565426979501668,0.5075700215040614,0.0,15.735498846537212,0.07115308500706917,0.7290863199685631,279687.7540057816
